step,bot type,sender,recipient,accept?,number of sender sc,number of recipient sc
26,transparent,GERMANY,ENGLAND,1,7,5
26,transparent,ITALY,ENGLAND,1,10,5
26,transparent,RUSSIA,ENGLAND,1,9,5
26,transparent,TURKEY,ENGLAND,1,2,5
26,transparent,AUSTRIA,GERMANY,1,1,7
26,transparent,ENGLAND,GERMANY,0,5,7
26,transparent,GERMANY,GERMANY,1,7,7
26,transparent,ITALY,GERMANY,1,10,7
26,transparent,RUSSIA,GERMANY,1,9,7
26,transparent,TURKEY,GERMANY,1,2,7
26,transparent,AUSTRIA,ITALY,0,1,10
26,transparent,ENGLAND,ITALY,1,5,10
26,transparent,GERMANY,ITALY,1,7,10
26,transparent,ITALY,ITALY,1,10,10
26,transparent,RUSSIA,ITALY,0,9,10
26,transparent,TURKEY,ITALY,0,2,10
26,transparent,AUSTRIA,RUSSIA,0,1,9
26,transparent,ENGLAND,RUSSIA,1,5,9
26,transparent,GERMANY,RUSSIA,0,7,9
26,transparent,ITALY,RUSSIA,0,10,9
26,transparent,RUSSIA,RUSSIA,1,9,9
26,transparent,TURKEY,RUSSIA,0,2,9
26,transparent,AUSTRIA,TURKEY,1,1,2
26,transparent,ENGLAND,TURKEY,1,5,2
26,transparent,GERMANY,TURKEY,1,7,2
26,transparent,ITALY,TURKEY,0,10,2
26,transparent,RUSSIA,TURKEY,0,9,2
26,transparent,TURKEY,TURKEY,1,2,2
28,transparent,AUSTRIA,AUSTRIA,1,1,1
28,transparent,ENGLAND,AUSTRIA,1,5,1
28,transparent,GERMANY,AUSTRIA,1,7,1
28,transparent,ITALY,AUSTRIA,0,10,1
28,transparent,RUSSIA,AUSTRIA,0,9,1
28,transparent,TURKEY,AUSTRIA,0,2,1
28,transparent,AUSTRIA,ENGLAND,1,1,5
28,transparent,ENGLAND,ENGLAND,1,5,5
28,transparent,GERMANY,ENGLAND,1,7,5
28,transparent,ITALY,ENGLAND,1,10,5
28,transparent,RUSSIA,ENGLAND,1,9,5
28,transparent,TURKEY,ENGLAND,1,2,5
28,transparent,AUSTRIA,GERMANY,1,1,7
28,transparent,ENGLAND,GERMANY,0,5,7
28,transparent,GERMANY,GERMANY,1,7,7
28,transparent,ITALY,GERMANY,1,10,7
28,transparent,RUSSIA,GERMANY,1,9,7
28,transparent,TURKEY,GERMANY,1,2,7
28,transparent,AUSTRIA,ITALY,0,1,10
28,transparent,ENGLAND,ITALY,1,5,10
28,RL,FRANCE,ITALY,1,0,10
28,transparent,GERMANY,ITALY,1,7,10
28,transparent,ITALY,ITALY,1,10,10
28,transparent,RUSSIA,ITALY,0,9,10
28,transparent,TURKEY,ITALY,0,2,10
28,transparent,AUSTRIA,RUSSIA,0,1,9
28,transparent,ENGLAND,RUSSIA,1,5,9
28,transparent,GERMANY,RUSSIA,0,7,9
28,transparent,ITALY,RUSSIA,0,10,9
28,transparent,RUSSIA,RUSSIA,1,9,9
